Document,Date,Parliament-Session,Original Word Count,Final Word Count,Topic Coherence,Dominant Topic,Dominant Topic Value,Topic Keywords,Topic Keyword 0,Topic Keyword 1,Topic Keyword 2,Topic Keyword 3,Topic Keyword 4,Topic Keyword 5,Topic Keyword 6,Topic Keyword 7,Topic Keyword 8,Topic Keyword 9
20170130-HAN129-E.pdf,2017-01-30,42-1,94682,42004,0.2553573582807646,6,date,"regard, statist, mani, question, inform, return, date, provid, tabl, data",regard,statist,mani,question,inform,return,date,provid,tabl,data
20200420-HAN034-E.pdf,2020-04-20,43-1,74492,35285,0.26967753278071827,6,health,"work, busi, need, help, mani, support, health, make, question, order",work,busi,need,help,mani,support,health,make,question,order
20230602-HAN205-E.pdf,2023-06-02,44-1,29410,14065,0.3914275391014222,2,question,"point, order, question, mr, assist, deputi, carol, hugh, parliamentari, secretari",point,order,question,mr,assist,deputi,carol,hugh,parliamentari,secretari
20120307-HAN091-E.pdf,2012-03-07,41-1,31265,12533,0.27531139218852596,4,debat,"job, countri, know, want, debat, last, english, question, servic, victim",job,countri,know,want,debat,last,english,question,servic,victim
20131126-HAN024-E.pdf,2013-11-26,41-2,75148,30271,0.3613151807996361,2,duffi,"question, say, duffi, know, parti, ask, talk, offic, said, common",question,say,duffi,know,parti,ask,talk,offic,said,common
20121005-HAN160-E.pdf,2012-10-05,41-1,45458,21476,0.33319404005549985,2,secretari,"victim, ontario, secretari, parliamentari, qubec, question, offend, servic, crime, surcharg",victim,ontario,secretari,parliamentari,qubec,question,offend,servic,crime,surcharg
20140618-HAN106-E.pdf,2014-06-18,41-2,72600,30537,0.38064420837322127,6,make,"use, munit, cluster, convent, countri, say, make, work, like, us",use,munit,cluster,convent,countri,say,make,work,like,us
20081121-HAN004-E.pdf,2008-11-21,40-1,52093,21665,0.25076041722396486,0,ontario,"ontario, throne, first, parliamentari, econom, work, secretari, need, new, tax",ontario,throne,first,parliamentari,econom,work,secretari,need,new,tax
20230130-HAN149-E.pdf,2023-01-30,44-1,97639,48189,0.26499266566488394,0,care,"care, child, work, regard, includ, famili, support, need, question, nation",care,child,work,regard,includ,famili,support,need,question,nation
20160603-HAN065-E.pdf,2016-06-03,42-1,41414,16619,0.2427843926536799,5,help,"citizenship, us, countri, mani, tax, help, nation, secretari, parliamentari, like",citizenship,us,countri,mani,tax,help,nation,secretari,parliamentari,like
20071115-HAN017-E.pdf,2007-11-15,39-2,76914,31551,0.341622802678567,4,elect,"vote, voter, day, problem, elect, address, identif, us, issu, right",vote,voter,day,problem,elect,address,identif,us,issu,right
20060405-HAN003-E.pdf,2006-04-05,39-1,39275,15697,0.24189119769093323,6,child,"care, quebec, work, english, throne, tax, child, right, want, make",care,quebec,work,english,throne,tax,child,right,want,make
20161122-HAN112-E.pdf,2016-11-22,42-1,79775,34882,0.3079844813993678,6,us,"trade, agreement, ceta, like, deal, work, us, market, new, job",trade,agreement,ceta,like,deal,work,us,market,new,job
20070202-HAN102-E.pdf,2007-02-02,39-1,52321,24324,0.3892672244673285,6,chang,"ontario, parliamentari, secretari, voter, elect, vote, chang, need, qubec, elector",ontario,parliamentari,secretari,voter,elect,vote,chang,need,qubec,elector
20170606-HAN188-E.pdf,2017-06-06,42-1,91443,41780,0.2953145117667141,3,say,"countri, right, carbon, say, common, issu, question, tax, want, cannabi",countri,right,carbon,say,common,issu,question,tax,want,cannabi
20070223-HAN117-E.pdf,2007-02-23,39-1,46754,21911,0.3930849018834101,2,parliamentari,"ontario, van, parliamentari, secretari, fisheri, qubec, order, question, may, common",ontario,van,parliamentari,secretari,fisheri,qubec,order,question,may,common
20180618-HAN316-E.pdf,2018-06-18,42-1,118513,50485,0.31107158129555584,3,right,"legisl, secur, want, right, make, work, use, need, say, issu",legisl,secur,want,right,make,work,use,need,say,issu
20090212-HAN014-E.pdf,2009-02-12,40-2,75422,31454,0.31051495027725373,5,go,"budget, organ, need, good, know, go, like, want, notforprofit, get",budget,organ,need,good,know,go,like,want,notforprofit,get
20181127-HAN359-E.pdf,2018-11-27,42-1,83131,35858,0.3287420993710396,3,common,"work, invest, support, common, juror, budget, need, pay, colleagu, billion",work,invest,support,common,juror,budget,need,pay,colleagu,billion
20070419-HAN136-E.pdf,2007-04-19,39-1,68932,27815,0.3745110967797792,2,us,"afghanistan, mission, us, support, say, afghan, need, troop, want, question",afghanistan,mission,us,support,say,afghan,need,troop,want,question
20220610-HAN086-E.pdf,2022-06-10,44-1,37962,17359,0.2413450413673177,3,work,"senior, support, want, work, amend, order, question, see, us, legisl",senior,support,want,work,amend,order,question,see,us,legisl
20091027-HAN101-E.pdf,2009-10-27,40-2,75055,31856,0.2840111563228588,2,right,"polic, need, right, crime, worker, get, law, new, common, crimin",polic,need,right,crime,worker,get,law,new,common,crimin
20100506-HAN041-E.pdf,2010-05-06,40-3,78727,32561,0.37678436641461055,3,parent,"support, benefit, know, parent, famili, militari, want, right, forc, veteran",support,benefit,know,parent,famili,militari,want,right,forc,veteran
20110620-HAN011-E.pdf,2011-06-20,41-1,68042,27970,0.3417583231855817,3,live,"senior, poverti, incom, live, work, need, countri, year, us, pension",senior,poverti,incom,live,work,need,countri,year,us,pension
20130613-HAN269-E.pdf,2013-06-13,41-1,95267,40758,0.35209910545988715,2,know,"tobacco, contraband, know, cigarett, issu, crimin, want, crime, smoke, import",tobacco,contraband,know,cigarett,issu,crimin,want,crime,smoke,import
20230328-HAN174-E.pdf,2023-03-28,44-1,53268,25006,0.28143433232015574,2,iranian,"right, need, iranian, want, privaci, common, work, iran, protect, import",right,need,iranian,want,privaci,common,work,iran,protect,import
20140605-HAN097-E.pdf,2014-06-05,41-2,106464,45245,0.4227291397403106,4,right,"trade, claus, countri, amend, right, agreement, like, support, us, question",trade,claus,countri,amend,right,agreement,like,support,us,question
20101203-HAN110-E.pdf,2010-12-03,40-3,50656,24011,0.33316104416017284,0,secretari,"secretari, offenc, ontario, parliamentari, child, mandatori, minimum, new, sentenc, use",secretari,offenc,ontario,parliamentari,child,mandatori,minimum,new,sentenc,use
20230216-HAN162-E.pdf,2023-02-16,44-1,71793,34346,0.34747848010202526,4,privat,"health, care, system, need, privat, work, know, want, countri, say",health,care,system,need,privat,work,know,want,countri,say
20060530-HAN029-E.pdf,2006-05-30,39-1,74096,31302,0.32119789569073615,2,countri,"cultur, support, countri, cbc, broadcast, industri, need, us, divers, quebec",cultur,support,countri,cbc,broadcast,industri,need,us,divers,quebec
20101215-HAN118-E.pdf,2010-12-15,40-3,43714,17293,0.25949714429493725,4,order,"question, common, support, autism, order, decemb, health, stand, us, respect",question,common,support,autism,order,decemb,health,stand,us,respect
20061031-HAN073-E.pdf,2006-10-31,39-1,83938,35109,0.2727851313403968,5,board,"danger, offend, offenc, want, wheat, board, take, crime, make, us",danger,offend,offenc,want,wheat,board,take,crime,make,us
20201005-HAN009-E.pdf,2020-10-05,43-2,65161,31528,0.2827900258423475,0,need,"need, health, throne, work, pandem, like, support, help, covid, commun",need,health,throne,work,pandem,like,support,help,covid,commun
20160129-HAN012-E.pdf,2016-01-29,42-1,40571,16527,0.4010835249723591,1,incom,"tax, incom, cut, new, famili, help, save, like, make, class",tax,incom,cut,new,famili,help,save,like,make,class
20080507-HAN090-E.pdf,2008-05-07,39-2,41690,17062,0.4173864998440777,5,question,"news, quebec, import, nation, broadcast, question, servic, state, may, support",news,quebec,import,nation,broadcast,question,servic,state,may,support
20120621-HAN145-E.pdf,2012-06-21,41-1,19447,7141,0.25262557739835995,5,work,"nation, aborigin, ms, servic, common, work, today, day, year, first",nation,aborigin,ms,servic,common,work,today,day,year,first
20140214-HAN047-E.pdf,2014-02-14,41-2,72915,31790,0.3363252415847687,4,support,"budget, countri, african, need, support, colleagu, like, republ, help, nation",budget,countri,african,need,support,colleagu,like,republ,help,nation
20070619-HAN174-E.pdf,2007-06-19,39-1,105725,44676,0.35279606114351914,5,long,"gun, safeti, registri, firearm, polic, long, use, want, system, crime",gun,safeti,registri,firearm,polic,long,use,want,system,crime
20060425-HAN009-E.pdf,2006-04-25,39-1,74685,30755,0.2800148267324329,5,like,"account, parti, legisl, work, want, like, question, made, make, gener",account,parti,legisl,work,want,like,question,made,make,gener
20171018-HAN217-E.pdf,2017-10-18,42-1,44816,18444,0.18819430786476435,1,sustain,"develop, sustain, tax, financ, work, trudeau, question, carbon, common, right",develop,sustain,tax,financ,work,trudeau,question,carbon,common,right
20100413-HAN024-E.pdf,2010-04-13,40-3,86130,36198,0.2855763319157703,6,common,"budget, make, like, need, get, tax, common, use, issu, work",budget,make,like,need,get,tax,common,use,issu,work
20121121-HAN182-E.pdf,2012-11-21,41-1,35777,14994,0.23230695805784812,1,work,"health, work, countri, need, medicin, common, nation, report, issu, park",health,work,countri,need,medicin,common,nation,report,issu,park
20090421-HAN042-E.pdf,2009-04-21,40-2,74134,31513,0.3331844473254975,6,crime,"gun, registri, firearm, polic, quebec, use, crime, want, regist, support",gun,registri,firearm,polic,quebec,use,crime,want,regist,support
20080215-HAN052-E.pdf,2008-02-15,39-2,42921,20348,0.3371735365013038,4,right,"ontario, secretari, grain, parliamentari, right, court, languag, commun, farmer, qubec",ontario,secretari,grain,parliamentari,right,court,languag,commun,farmer,qubec
20140527-HAN090-E.pdf,2014-05-27,41-2,108613,45848,0.28086153005068376,6,import,"victim, right, drug, want, health, us, import, like, support, think",victim,right,drug,want,health,us,import,like,support,think
20220329-HAN048-E.pdf,2022-03-29,44-1,77087,36308,0.26950726391381824,4,support,"need, want, work, senior, support, ukrain, come, know, make, get",need,want,work,senior,support,ukrain,come,know,make,get
20130611-HAN267-E.pdf,2013-06-11,41-1,111717,48700,0.2619471221311246,0,nation,"nation, first, convent, cluster, legisl, elect, munit, countri, us, commun",nation,first,convent,cluster,legisl,elect,munit,countri,us,commun
20211208-HAN013-E.pdf,2021-12-08,44-1,61020,29556,0.30088173274185864,3,need,"health, boissonnault, care, need, work, hous, randi, question, know, right",health,boissonnault,care,need,work,hous,randi,question,know,right
20210512-HAN100-E.pdf,2021-05-12,43-2,37987,19094,0.2707501281236537,0,right,"right, indigen, nation, week, benefit, work, support, trudeau, get, common",right,indigen,nation,week,benefit,work,support,trudeau,get,common
20140501-HAN078-E.pdf,2014-05-01,41-2,72290,31105,0.34867347400925547,3,school,"first, nation, educ, school, legisl, languag, work, right, question, support",first,nation,educ,school,legisl,languag,work,right,question,support
20211125-HAN004-E.pdf,2021-11-25,44-1,79829,36398,0.3313302991338807,5,hybrid,"parliament, work, us, want, colleagu, hybrid, know, get, like, come",parliament,work,us,want,colleagu,hybrid,know,get,like,come
20150601-HAN221-E.pdf,2015-06-01,41-2,70228,30437,0.3721422369689294,1,fee,"bank, fee, pay, consum, make, financi, charg, money, busi, tax",bank,fee,pay,consum,make,financi,charg,money,busi,tax
20090612-HAN074-E.pdf,2009-06-12,40-2,51260,24274,0.32307890454585025,0,product,"product, work, ontario, qubec, year, secretari, countri, first, parliamentari, import",product,work,ontario,qubec,year,secretari,countri,first,parliamentari,import
20160614-HAN072-E.pdf,2016-06-14,42-1,111927,48700,0.3648557301555434,3,work,"trade, provinc, intern, work, want, need, busi, agreement, agre, question",trade,provinc,intern,work,want,need,busi,agreement,agre,question
20150508-HAN210-E.pdf,2015-05-08,41-2,53485,25591,0.2919358933276754,6,million,"tax, servic, secretari, women, ferri, ontario, million, parliamentari, island, work",tax,servic,secretari,women,ferri,ontario,million,parliamentari,island,work
20090507-HAN053-E.pdf,2009-05-07,40-2,77387,32920,0.2134706664672244,4,need,"agreement, get, cree, say, need, legisl, want, work, commun, spam",agreement,get,cree,say,need,legisl,want,work,commun,spam
20120424-HAN109-E.pdf,2012-04-24,41-1,75253,31997,0.3883041663116153,6,like,"law, person, arrest, crimin, make, citizen, like, common, say, polic",law,person,arrest,crimin,make,citizen,like,common,say,polic
20210222-HAN063-E.pdf,2021-02-22,43-2,65585,31348,0.35979664331800737,2,industri,"need, tourism, industri, busi, support, vaccin, get, import, common, colleagu",need,tourism,industri,busi,support,vaccin,get,import,common,colleagu
20090223-HAN016-E.pdf,2009-02-23,40-2,62734,26569,0.2550335450295412,3,arctic,"need, legisl, north, arctic, us, protect, import, want, question, pathogen",need,legisl,north,arctic,us,protect,import,want,question,pathogen
20150327-HAN191-E.pdf,2015-03-27,41-2,49820,23816,0.3780733342314477,4,offend,"ontario, child, parliamentari, secretari, offend, sex, legisl, sexual, nation, common",ontario,child,parliamentari,secretari,offend,sex,legisl,sexual,nation,common
20210622-HAN123-E.pdf,2021-06-22,43-2,95924,45817,0.35919185119365143,2,need,"work, like, need, import, climat, support, want, go, common, come",work,like,need,import,climat,support,want,go,common,come
20061120-HAN082-E.pdf,2006-11-20,39-1,69227,28315,0.31598052448234853,2,work,"access, inform, work, want, board, amend, import, put, support, wheat",access,inform,work,want,board,amend,import,put,support,wheat
20100927-HAN071-E.pdf,2010-09-27,40-3,68087,29296,0.2762969429323684,3,jordan,"agreement, trade, countri, jordan, busi, legisl, work, us, free, right",agreement,trade,countri,jordan,busi,legisl,work,us,free,right
20190501-HAN407-E.pdf,2019-05-01,42-1,44517,18523,0.3294417756353016,6,trudeau,"china, canola, right, shark, work, issu, trudeau, trade, farmer, invest",china,canola,right,shark,work,issu,trudeau,trade,farmer,invest
20161215-HAN128-E.pdf,2016-12-15,42-1,1134,504,0.3128546816174934,3,permiss,"reproduct, common, chambr, permiss, droit, author, deputi, royal, proceed, assent",reproduct,common,chambr,permiss,droit,author,deputi,royal,proceed,assent
20170201-HAN131-E.pdf,2017-02-01,42-1,31207,12691,0.26700857028639097,0,work,"work, common, site, need, order, want, first, like, question, commun",work,common,site,need,order,want,first,like,question,commun
20210224-HAN065-E.pdf,2021-02-24,43-2,17895,9383,0.4211243824265171,1,work,"trudeau, work, right, vaccin, order, point, question, get, mrspeaker, justin",trudeau,work,right,vaccin,order,point,question,get,mrspeaker,justin
20130320-HAN225-E.pdf,2013-03-20,41-1,47471,21029,0.24037963276432067,1,vote,"research, vote, agre, scienc, common, lake, debat, translat, divis, scientist",research,vote,agre,scienc,common,lake,debat,translat,divis,scientist
20110216-HAN132-E.pdf,2011-02-16,40-3,68930,29210,0.23271799491312486,6,victim,"iran, iranian, countri, right, human, want, victim, get, say, regim",iran,iranian,countri,right,human,want,victim,get,say,regim
20230201-HAN151-E.pdf,2023-02-01,44-1,41650,20244,0.30803889368778586,0,disabl,"disabl, benefit, support, live, quebec, work, right, trudeau, need, person",disabl,benefit,support,live,quebec,work,right,trudeau,need,person
20091106-HAN109-E.pdf,2009-11-06,40-2,49378,23226,0.3594297150231568,2,econom,"ontario, anim, econom, parliamentari, secretari, question, support, qubec, tax, job",ontario,anim,econom,parliamentari,secretari,question,support,qubec,tax,job
20080229-HAN057-E.pdf,2008-02-29,39-2,47489,22132,0.4192745228511261,4,ontario,"secretari, work, parliamentari, said, ontario, mulroney, inquiri, cadman, qubec, famili",secretari,work,parliamentari,said,ontario,mulroney,inquiri,cadman,qubec,famili
20161027-HAN099-E.pdf,2016-10-27,42-1,77166,33538,0.3769661111092351,2,children,"first, nation, children, child, right, indigen, want, servic, famili, work",first,nation,children,child,right,indigen,want,servic,famili,work
20150511-HAN211-E.pdf,2015-05-11,41-2,73158,31339,0.32375974781489353,3,affair,"veteran, famili, need, affair, support, servic, women, benefit, new, question",veteran,famili,need,affair,support,servic,women,benefit,new,question
20071120-HAN020-E.pdf,2007-11-20,39-2,74011,31347,0.3193611003203359,6,feder,"post, nova, coal, scotia, work, cape, feder, develop, mine, legisl",post,nova,coal,scotia,work,cape,feder,develop,mine,legisl
20211123-HAN002-E.pdf,2021-11-23,44-1,31961,14667,0.30959011733611497,3,economi,"common, privileg, parliament, economi, board, order, work, right, parliamentari, point",common,privileg,parliament,economi,board,order,work,right,parliamentari,point
